id,name,unit
255f5c60-f3ff-4a58-a828-26d72a629ba4,Soldier_0,Alpha-1
3b4e3cef-99aa-4710-88db-17be717d2c7e,Soldier_1,Alpha-2
53c82d68-d816-4046-9a2b-4f3f7a52fca1,Soldier_2,Alpha-3
f9978b09-06a8-4e2c-896e-e609492fef66,Soldier_3,Alpha-4
f375239d-0658-4383-9bd5-1135a4171e1e,Soldier_4,Alpha-1
c2ec0d69-dd7d-472e-b4d9-779933f7519c,Soldier_5,Alpha-2
54a88856-10b1-49cc-8a6f-cbc8c86dcbfd,Soldier_6,Alpha-3
0d0399d5-2087-457f-b408-de3dff3bd46d,Soldier_7,Alpha-4
cd8278d8-6aea-40bc-a5b6-beb1c4f4914d,Soldier_8,Alpha-1
e5be76f5-4279-49cf-9682-bed5b2d28c6e,Soldier_9,Alpha-2
910cc466-1874-4e79-98cf-86f559c3570f,Soldier_10,Alpha-3
b99dde0a-3205-413f-931b-8287d64c05bb,Soldier_11,Alpha-4
b0c8ebc2-de88-4831-a658-db8abc00cc34,Soldier_12,Alpha-1
76e2aacb-640e-4d76-9d0f-6821cd6777d7,Soldier_13,Alpha-2
a7b9721e-0fc3-40d7-b2bd-f0b0c696db3d,Soldier_14,Alpha-3
5df5dbc8-952a-4e7c-9402-69de94eda63a,Soldier_15,Alpha-4
db6000c8-de99-4090-b0fc-4b2cb160472a,Soldier_16,Alpha-1
76a6187b-e894-4565-b038-83ea4a7572df,Soldier_17,Alpha-2
91ba6662-8dbe-4a8b-9dc2-dcf861aa412c,Soldier_18,Alpha-3
0aa3528b-b8c2-40e4-b34b-70666a7ef87d,Soldier_19,Alpha-4
a952aeb7-cbec-42e7-8923-85657e3f7d92,Soldier_20,Alpha-1
7f1c2118-a120-4021-8aac-9668a8f4bfba,Soldier_21,Alpha-2
f6638d8b-d612-439c-9f51-941346f04a4e,Soldier_22,Alpha-3
adaacf62-3662-4e05-9a01-ff86018b9441,Soldier_23,Alpha-4
d8e0a555-f6df-482b-bf0a-030105575e16,Soldier_24,Alpha-1
5be82482-b8c2-4b3c-901b-02447d0f6ad5,Soldier_25,Alpha-2
219fc09e-3c57-4f3a-abe7-f8147dfdb208,Soldier_26,Alpha-3
28271df3-b6c9-4603-8553-36f8577a7754,Soldier_27,Alpha-4
0c2d01f4-bf3f-4817-89a5-7124e759a51e,Soldier_28,Alpha-1
14af0ea5-a16f-4874-920f-a07a3a3cc116,Soldier_29,Alpha-2
40f7f996-aa8d-401c-8d0e-2ef6b62e010a,Soldier_30,Alpha-3
8a78ffd5-0d8f-4083-b16d-d91687791bbd,Soldier_31,Alpha-4
ebdb83eb-b42e-4849-ae57-f550e6cd05c1,Soldier_32,Alpha-1
cd82c5b6-2339-4ae6-848d-572af3b1076e,Soldier_33,Alpha-2
c5778c59-484c-42d6-8610-1a6a32943dc6,Soldier_34,Alpha-3
79978b18-7bb3-4495-83ac-6783b58c1423,Soldier_35,Alpha-4
283ca003-788e-4c10-998f-eba0a17e2163,Soldier_36,Alpha-1
e097c6d7-b4c6-4405-93f6-6b63af9ae092,Soldier_37,Alpha-2
851f88bf-9e16-4044-bd96-998409f4bb79,Soldier_38,Alpha-3
1d810ff0-49d2-42e5-b24a-407d8654dd3a,Soldier_39,Alpha-4
62eff13f-cb26-48c3-af49-ab09d81efe3c,Soldier_40,Alpha-1
78dafb98-2acd-47fe-8b6e-6bb76b39ca77,Soldier_41,Alpha-2
49c60901-652d-490c-b2c1-6d7acd9cfce6,Soldier_42,Alpha-3
ea76a234-1a62-46ec-a085-c8f755a8fdce,Soldier_43,Alpha-4
e75c053b-ce0e-40e6-89ea-a8ab7e306fc5,Soldier_44,Alpha-1
76d58db8-8e55-4262-8844-a9606bc2e889,Soldier_45,Alpha-2
4ed3c90c-fc28-4e45-bd32-1d0d947123a9,Soldier_46,Alpha-3
30e0dcec-e625-449d-8c93-27533ccf6131,Soldier_47,Alpha-4
b7ac67e5-4080-44da-a6a5-d390c9abd15b,Soldier_48,Alpha-1
3c5457ca-edd6-4568-a8e9-72ac464a3b65,Soldier_49,Alpha-2
